profile,depth,time,latitude,longitude,chlorophyll
,m,UTC,degrees_north,degrees_east,mg m-3
55821,20.0,2023-06-30T12:45:24Z,34.246129999999994,-120.4582775,1.3595
55822,20.0,2023-06-30T15:25:42Z,34.2435525,-120.43620250000001,0.27399999999999997
55823,20.0,2023-06-30T18:06:05Z,34.240285,-120.414965,0.41850000000000004
55824,20.0,2023-06-30T20:42:06Z,34.23317,-120.38898,0.9035454545454545
55825,20.0,2023-06-30T23:16:11Z,34.2236725,-120.3613375,0.739
55826,20.0,2023-07-01T01:58:50Z,34.2151225,-120.3392525,2.100818181818182
55827,20.0,2023-07-01T04:42:38Z,34.21045,-120.3217175,0.9457499999999999
55828,20.0,2023-07-01T07:27:50Z,34.206154999999995,-120.29866249999999,0.3528
55829,20.0,2023-07-01T10:16:43Z,34.2017475,-120.26787250000001,0.40566666666666673
55830,20.0,2023-07-01T13:11:04Z,34.197404999999996,-120.23255,1.180090909090909
55831,20.0,2023-07-01T16:17:48Z,34.1916275,-120.192595,0.9011538461538462
55832,20.0,2023-07-01T19:18:44Z,34.1848825,-120.15658,0.27354545454545454
55833,20.0,2023-07-01T22:24:42Z,34.1999775,-120.1295025,0.31300000000000006
55834,20.0,2023-07-02T01:28:53Z,34.2270125,-120.1192575,2.0898000000000003
55835,20.0,2023-07-02T04:28:53Z,34.254795,-120.11623750000001,0.38290909090909087
55836,20.0,2023-07-02T07:28:44Z,34.278785,-120.1080575,0.3459999999999999
55837,20.0,2023-07-02T10:28:27Z,34.29374,-120.09042249999999,1.1329285714285715
55838,20.0,2023-07-02T13:32:36Z,34.296890000000005,-120.0723725,0.5464615384615384
55839,20.0,2023-07-02T16:35:57Z,34.295100000000005,-120.0585775,0.5527500000000001
55840,20.0,2023-07-02T19:36:42Z,34.29085,-120.0433575,0.37445454545454543
55841,20.0,2023-07-02T22:38:04Z,34.28554,-120.02241000000001,0.7006363636363637
55842,20.0,2023-07-03T01:40:52Z,34.2823925,-119.99865249999999,1.9894999999999998
55843,20.0,2023-07-03T04:41:44Z,34.279325,-119.9778775,4.399249999999999
55844,20.0,2023-07-03T07:42:49Z,34.274625,-119.95594750000001,1.7483076923076921
55845,20.0,2023-07-03T10:43:04Z,34.2684525,-119.9251275,5.848384615384616
55846,20.0,2023-07-03T13:47:06Z,34.2785275,-119.92771499999999,1.3617272727272727
55847,20.0,2023-07-03T16:48:10Z,34.270105,-119.9238125,1.3553076923076923
55848,20.0,2023-07-03T19:50:16Z,34.284912500000004,-119.91667000000001,2.454
55849,20.0,2023-07-03T22:49:42Z,34.2764,-119.912925,4.024
55850,20.0,2023-07-04T01:48:44Z,34.26526,-119.928685,1.90175
55851,20.0,2023-07-04T04:51:06Z,34.2741575,-119.9206625,2.671615384615385
55852,20.0,2023-07-04T07:57:26Z,34.2596275,-119.92432,2.30325
55853,20.0,2023-07-04T11:01:28Z,34.2679825,-119.9175175,1.8817500000000003
55854,20.0,2023-07-04T14:02:22Z,34.265139999999995,-119.9271425,1.31975
55855,20.0,2023-07-04T17:03:18Z,34.2769425,-119.92040750000001,1.086
55856,20.0,2023-07-04T20:02:28Z,34.267685,-119.9229125,1.8360000000000003
55857,20.0,2023-07-04T23:03:20Z,34.2757925,-119.9129225,2.3074999999999997
55858,20.0,2023-07-05T02:05:32Z,34.265452499999995,-119.9212875,2.169
55859,20.0,2023-07-05T05:07:57Z,34.2597225,-119.910505,3.69
55860,20.0,2023-07-05T08:07:57Z,34.2585,-119.89403,3.7122499999999996
55861,20.0,2023-07-05T10:59:46Z,34.25777,-119.8755725,3.905181818181818
55862,20.0,2023-07-05T13:37:32Z,34.2612725,-119.85255500000001,3.565909090909092
55863,20.0,2023-07-05T16:07:06Z,34.254255,-119.857565,2.9692500000000006
55864,20.0,2023-07-05T18:37:26Z,34.26403,-119.852985,2.67225
55865,20.0,2023-07-05T20:58:32Z,34.2607525,-119.85002,4.1059090909090905
55866,20.0,2023-07-05T23:21:26Z,34.2749125,-119.85566,2.97925
55867,20.0,2023-07-06T01:31:37Z,34.283575,-119.8448725,4.278272727272728
55868,20.0,2023-07-06T03:28:48Z,34.2861725,-119.83194,3.164
55869,20.0,2023-07-06T05:14:36Z,34.2901525,-119.822455,1.8405
55870,20.0,2023-07-06T06:59:06Z,34.2943925,-119.8176075,4.369363636363636
55871,20.0,2023-07-06T08:42:15Z,34.29796,-119.81554750000001,3.910363636363636
55872,20.0,2023-07-06T10:27:22Z,34.2986275,-119.8135025,3.155181818181818
55873,20.0,2023-07-06T11:53:22Z,34.29839,-119.81095,2.9269090909090907
55874,20.0,2023-07-06T13:13:35Z,34.298135,-119.80511,3.9875999999999996
55875,20.0,2023-07-06T14:12:05Z,34.298100000000005,-119.79968500000001,5.9136
55876,20.0,2023-07-06T15:03:00Z,34.29807,-119.79414,6.042600000000001
55877,20.0,2023-07-06T15:52:36Z,34.297805000000004,-119.78841249999999,5.932333333333332
55817,30.0,2023-06-30T00:52:25Z,34.2572075,-120.55573,0.4998461538461539
55818,30.0,2023-06-30T03:58:54Z,34.25009,-120.537525,0.26325000000000004
55819,30.0,2023-06-30T07:00:14Z,34.2485375,-120.516155,0.45692307692307693
55820,30.0,2023-06-30T09:56:10Z,34.24785,-120.4872425,1.2100714285714287
55821,30.0,2023-06-30T12:45:24Z,34.246129999999994,-120.4582775,0.8457000000000001
55822,30.0,2023-06-30T15:25:42Z,34.2435525,-120.43620250000001,0.20579999999999998
55823,30.0,2023-06-30T18:06:05Z,34.240285,-120.414965,0.23099999999999996
55824,30.0,2023-06-30T20:42:06Z,34.23317,-120.38898,0.342
55825,30.0,2023-06-30T23:16:11Z,34.2236725,-120.3613375,0.2825454545454546
55826,30.0,2023-07-01T01:58:50Z,34.2151225,-120.3392525,0.30409090909090913
55827,30.0,2023-07-01T04:42:38Z,34.21045,-120.3217175,0.23154545454545453
55828,30.0,2023-07-01T07:27:50Z,34.206154999999995,-120.29866249999999,0.2493
55829,30.0,2023-07-01T10:16:43Z,34.2017475,-120.26787250000001,0.243
55830,30.0,2023-07-01T13:11:04Z,34.197404999999996,-120.23255,0.22649999999999998
